Id,Time[ns],0:UART: RX/TX
249,337683000.00000000000000000000,[0A]
250,337766000.00000000000000000000,E
251,337849000.00000000000000000000,r
252,337933000.00000000000000000000,r
253,338016000.00000000000000000000,:
254,338099000.00000000000000000000, 
255,338182000.00000000000000000000, 
256,338265000.00000000000000000000, 
257,338349000.00000000000000000000,s
258,338432000.00000000000000000000,e
259,338515000.00000000000000000000,r
260,338598000.00000000000000000000,i
261,338681000.00000000000000000000,a
262,338765000.00000000000000000000,l
263,338848000.00000000000000000000,[0D]
264,338931000.00000000000000000000,[0A]
265,342334000.00000000000000000000,N
266,342417000.00000000000000000000,e
267,342500000.00000000000000000000,t
268,342583000.00000000000000000000,:
269,342667000.00000000000000000000,[A0]
270,342750000.00000000000000000000, 
271,342833000.00000000000000000000, 
272,342916000.00000000000000000000,a
273,342999000.00000000000000000000,t
274,343083000.00000000000000000000,[E8]
275,343166000.00000000000000000000,_
276,343249000.00000000000000000000,g
277,343332000.00000000000000000000,m
278,343415000.00000000000000000000,a
279,343499000.00000000000000000000,[E3]
280,343582000.00000000000000000000,_
281,343665000.00000000000000000000,e
282,343748000.00000000000000000000,n
283,343831000.00000000000000000000,e
284,343915000.00000000000000000000,[F4]
285,343998000.00000000000000000000,[DF]
286,344081000.00000000000000000000,i
287,344164000.00000000000000000000,n
288,344247000.00000000000000000000,i
289,344331000.00000000000000000000,[F4]
290,344414000.00000000000000000000,i
291,344497000.00000000000000000000,a
292,344580000.00000000000000000000,l
293,344663000.00000000000000000000,i
294,344747000.00000000000000000000,[FA]
295,344830000.00000000000000000000,e
296,344913000.00000000000000000000,.
297,344996000.00000000000000000000,.
298,345079000.00000000000000000000,.
299,345163000.00000000000000000000,[8D]
300,345246000.00000000000000000000,[0A]
301,665339000.00000000000000000000,a
302,665422000.00000000000000000000,t
303,665505000.00000000000000000000,h
304,665588000.00000000000000000000,_
305,665672000.00000000000000000000,[E7]
306,665755000.00000000000000000000,m
307,665838000.00000000000000000000,a
308,665921000.00000000000000000000,c
309,666004000.00000000000000000000,_
310,666088000.00000000000000000000,[E5]
311,666171000.00000000000000000000,n
312,666254000.00000000000000000000,e
313,666337000.00000000000000000000,t
314,666420000.00000000000000000000,_
315,666504000.00000000000000000000,[E9]
316,666587000.00000000000000000000,n
317,666670000.00000000000000000000,i
318,666753000.00000000000000000000,t
319,666836000.00000000000000000000,i
320,666920000.00000000000000000000,[E1]
321,667003000.00000000000000000000,l
322,667086000.00000000000000000000,i
323,667169000.00000000000000000000,z
324,667252000.00000000000000000000,e
325,667335000.00000000000000000000,:
326,667419000.00000000000000000000, 
327,667502000.00000000000000000000,r
328,667585000.00000000000000000000,e
329,667668000.00000000000000000000,s
330,667751000.00000000000000000000,e
331,667835000.00000000000000000000,t
332,667918000.00000000000000000000, 
333,668001000.00000000000000000000,m
334,668084000.00000000000000000000,a
335,668167000.00000000000000000000,s
336,668251000.00000000000000000000,k
337,668334000.00000000000000000000,:
338,668417000.00000000000000000000,c
339,668500000.00000000000000000000,0
