Id,Time[ns],0:UART: RX/TX
1712,4926988000.00000000000000000000,e
1713,4927078000.00000000000000000000,a
1714,4927168000.00000000000000000000,r
1715,4927257000.00000000000000000000,l
1716,4927347000.00000000000000000000,y
1717,4927436000.00000000000000000000,_
1718,4927526000.00000000000000000000,n
1719,4927616000.00000000000000000000,o
1720,4927705000.00000000000000000000,d
1721,4927795000.00000000000000000000,e
1722,4927884000.00000000000000000000,_
1723,4927974000.00000000000000000000,m
1724,4928064000.00000000000000000000,a
1725,4928153000.00000000000000000000,p
1726,4928243000.00000000000000000000,[
1727,4928332000.00000000000000000000,1
1728,4928422000.00000000000000000000,]
1729,4928512000.00000000000000000000, 
1730,4928601000.00000000000000000000,a
1731,4928691000.00000000000000000000,c
1732,4928780000.00000000000000000000,t
1733,4928870000.00000000000000000000,i
1734,4928960000.00000000000000000000,v
1735,4929049000.00000000000000000000,e
1736,4929139000.00000000000000000000, 
1737,4929228000.00000000000000000000,P
1738,4929318000.00000000000000000000,F
1739,4929408000.00000000000000000000,N
1740,4929497000.00000000000000000000, 
1741,4929587000.00000000000000000000,r
1742,4929676000.00000000000000000000,a
1743,4929766000.00000000000000000000,n
1744,4929856000.00000000000000000000,g
1745,4929945000.00000000000000000000,e
1746,4930035000.00000000000000000000,s
1747,4930124000.00000000000000000000,[0D]
1748,4930214000.00000000000000000000,[0A]
1749,4930313000.00000000000000000000, 
1750,4930402000.00000000000000000000, 
1751,4930492000.00000000000000000000, 
1752,4930581000.00000000000000000000, 
1753,4930671000.00000000000000000000,0
1754,4930761000.00000000000000000000,:
1755,4930850000.00000000000000000000, 
1756,4930940000.00000000000000000000,0
1757,4931029000.00000000000000000000,x
1758,4931119000.00000000000000000000,0
1759,4931209000.00000000000000000000,0
1760,4931298000.00000000000000000000,0
1761,4931388000.00000000000000000000,0
1762,4931477000.00000000000000000000,0
1763,4931567000.00000000000000000000,0
1764,4931657000.00000000000000000000,0
1765,4931746000.00000000000000000000,0
1766,4931836000.00000000000000000000, 
1767,4931925000.00000000000000000000,-
1768,4932015000.00000000000000000000,>
1769,4932105000.00000000000000000000, 
1770,4932194000.00000000000000000000,0
1771,4932284000.00000000000000000000,x
1772,4932373000.00000000000000000000,0
1773,4932463000.00000000000000000000,0
1774,4932553000.00000000000000000000,0
1775,4932642000.00000000000000000000,0
1776,4932732000.00000000000000000000,2
1777,4932821000.00000000000000000000,0
1778,4932911000.00000000000000000000,0
1779,4933001000.00000000000000000000,0
1780,4933090000.00000000000000000000,[0D]
1781,4933180000.00000000000000000000,[0A]
1782,4933287000.00000000000000000000,B
1783,4933377000.00000000000000000000,u
1784,4933466000.00000000000000000000,i
1785,4933556000.00000000000000000000,l
1786,4933646000.00000000000000000000,t
1787,4933735000.00000000000000000000, 
1788,4933825000.00000000000000000000,1
1789,4933914000.00000000000000000000, 
1790,4934004000.00000000000000000000,z
1791,4934094000.00000000000000000000,o
1792,4934183000.00000000000000000000,n
1793,4934273000.00000000000000000000,e
1794,4934362000.00000000000000000000,l
1795,4934452000.00000000000000000000,i
1796,4934542000.00000000000000000000,s
1797,4934631000.00000000000000000000,t
1798,4934721000.00000000000000000000,s
1799,4934810000.00000000000000000000, 
1800,4934900000.00000000000000000000,i
1801,4934990000.00000000000000000000,n
1802,4935079000.00000000000000000000, 
1803,4935169000.00000000000000000000,Z
1804,4935258000.00000000000000000000,o
1805,4935348000.00000000000000000000,n
1806,4935438000.00000000000000000000,e
1807,4935527000.00000000000000000000, 
1808,4935617000.00000000000000000000,o
1809,4935706000.00000000000000000000,r
1810,4935796000.00000000000000000000,d
1811,4935886000.00000000000000000000,e
1812,4935975000.00000000000000000000,r
1813,4936065000.00000000000000000000,,
1814,4936154000.00000000000000000000, 
1815,4936244000.00000000000000000000,m
1816,4936334000.00000000000000000000,o
1817,4936423000.00000000000000000000,b
1818,4936513000.00000000000000000000,i
1819,4936602000.00000000000000000000,l
1820,4936692000.00000000000000000000,i
1821,4936782000.00000000000000000000,t
1822,4936871000.00000000000000000000,y
1823,4936961000.00000000000000000000, 
1824,4937050000.00000000000000000000,g
1825,4937140000.00000000000000000000,r
1826,4937230000.00000000000000000000,o
1827,4937319000.00000000000000000000,u
1828,4937409000.00000000000000000000,p
1829,4937498000.00000000000000000000,i
1830,4937588000.00000000000000000000,n
1831,4937678000.00000000000000000000,g
1832,4937767000.00000000000000000000, 
1833,4937857000.00000000000000000000,o
1834,4937946000.00000000000000000000,n
1835,4938036000.00000000000000000000,.
1836,4938126000.00000000000000000000, 
1837,4938215000.00000000000000000000, 
1838,4938305000.00000000000000000000,T
1839,4938394000.00000000000000000000,o
1840,4938484000.00000000000000000000,t
1841,4938574000.00000000000000000000,a
1842,4938663000.00000000000000000000,l
1843,4938753000.00000000000000000000, 
1844,4938842000.00000000000000000000,p
1845,4938932000.00000000000000000000,a
1846,4939022000.00000000000000000000,g
1847,4939111000.00000000000000000000,e
1848,4939201000.00000000000000000000,s
1849,4939290000.00000000000000000000,:
1850,4939380000.00000000000000000000, 
1851,4939470000.00000000000000000000,8
1852,4939559000.00000000000000000000,1
1853,4939649000.00000000000000000000,2
1854,4939738000.00000000000000000000,8
1855,4939828000.00000000000000000000,[0D]
1856,4939918000.00000000000000000000,[0A]
1857,4940016000.00000000000000000000,K
1858,4940106000.00000000000000000000,e
1859,4940195000.00000000000000000000,r
1860,4940285000.00000000000000000000,n
1861,4940375000.00000000000000000000,e
1862,4940464000.00000000000000000000,l
1863,4940554000.00000000000000000000, 
1864,4940643000.00000000000000000000,c
1865,4940733000.00000000000000000000,o
1866,4940823000.00000000000000000000,m
1867,4940912000.00000000000000000000,m
1868,4941002000.00000000000000000000,a
1869,4941091000.00000000000000000000,n
1870,4941181000.00000000000000000000,d
1871,4941271000.00000000000000000000, 
1872,4941360000.00000000000000000000,l
1873,4941450000.00000000000000000000,i
1874,4941539000.00000000000000000000,n
1875,4941629000.00000000000000000000,e
1876,4941719000.00000000000000000000,:
1877,4941808000.00000000000000000000, 
1878,4941898000.00000000000000000000,c
1879,4941987000.00000000000000000000,o
1880,4942077000.00000000000000000000,n
1881,4942167000.00000000000000000000,s
1882,4942256000.00000000000000000000,o
1883,4942346000.00000000000000000000,l
1884,4942435000.00000000000000000000,e
1885,4942525000.00000000000000000000,=
1886,4942615000.00000000000000000000,t
1887,4942704000.00000000000000000000,t
1888,4942794000.00000000000000000000,y
1889,4942883000.00000000000000000000,S
1890,4942973000.00000000000000000000,0
1891,4943063000.00000000000000000000,,
1892,4943152000.00000000000000000000,1
1893,4943242000.00000000000000000000,1
1894,4943331000.00000000000000000000,5
1895,4943421000.00000000000000000000,2
1896,4943511000.00000000000000000000,0
1897,4943600000.00000000000000000000,0
1898,4943690000.00000000000000000000, 
1899,4943779000.00000000000000000000,r
1900,4943869000.00000000000000000000,o
1901,4943959000.00000000000000000000,o
1902,4944048000.00000000000000000000,t
1903,4944138000.00000000000000000000,=
1904,4944227000.00000000000000000000,3
1905,4944317000.00000000000000000000,1
1906,4944407000.00000000000000000000,:
1907,4944496000.00000000000000000000,2
1908,4944586000.00000000000000000000, 
1909,4944675000.00000000000000000000,r
1910,4944765000.00000000000000000000,o
1911,4944855000.00000000000000000000,o
1912,4944944000.00000000000000000000,t
1913,4945034000.00000000000000000000,f
1914,4945123000.00000000000000000000,s
1915,4945213000.00000000000000000000,t
1916,4945303000.00000000000000000000,y
1917,4945392000.00000000000000000000,p
1918,4945482000.00000000000000000000,e
1919,4945571000.00000000000000000000,=
1920,4945661000.00000000000000000000,s
1921,4945751000.00000000000000000000,q
1922,4945840000.00000000000000000000,u
1923,4945930000.00000000000000000000,a
1924,4946019000.00000000000000000000,s
1925,4946109000.00000000000000000000,h
1926,4946199000.00000000000000000000,f
1927,4946288000.00000000000000000000,s
1928,4946378000.00000000000000000000, 
1929,4946467000.00000000000000000000,i
1930,4946557000.00000000000000000000,n
1931,4946647000.00000000000000000000,i
1932,4946736000.00000000000000000000,t
1933,4946826000.00000000000000000000,=
1934,4946915000.00000000000000000000,/
1935,4947005000.00000000000000000000,s
1936,4947095000.00000000000000000000,b
1937,4947184000.00000000000000000000,i
1938,4947274000.00000000000000000000,n
1939,4947363000.00000000000000000000,/
1940,4947453000.00000000000000000000,i
1941,4947543000.00000000000000000000,n
1942,4947632000.00000000000000000000,i
1943,4947722000.00000000000000000000,t
1944,4947811000.00000000000000000000, 
1945,4947901000.00000000000000000000,m
1946,4947991000.00000000000000000000,t
1947,4948080000.00000000000000000000,d
1948,4948170000.00000000000000000000,p
1949,4948259000.00000000000000000000,a
1950,4948349000.00000000000000000000,r
1951,4948439000.00000000000000000000,t
1952,4948528000.00000000000000000000,s
1953,4948618000.00000000000000000000,=
1954,4948707000.00000000000000000000,a
1955,4948797000.00000000000000000000,t
1956,4948887000.00000000000000000000,h
1957,4948976000.00000000000000000000,-
1958,4949066000.00000000000000000000,n
1959,4949155000.00000000000000000000,o
1960,4949245000.00000000000000000000,r
1961,4949335000.00000000000000000000,0
1962,4949424000.00000000000000000000,:
1963,4949514000.00000000000000000000,1
1964,4949603000.00000000000000000000,2
1965,4949693000.00000000000000000000,8
1966,4949783000.00000000000000000000,k
1967,4949872000.00000000000000000000,(
1968,4949962000.00000000000000000000,u
1969,4950051000.00000000000000000000,-
1970,4950141000.00000000000000000000,b
1971,4950231000.00000000000000000000,o
1972,4950320000.00000000000000000000,o
1973,4950410000.00000000000000000000,t
1974,4950499000.00000000000000000000,)
1975,4950589000.00000000000000000000,,
1976,4950679000.00000000000000000000,1
1977,4950768000.00000000000000000000,0
1978,4950858000.00000000000000000000,2
1979,4950947000.00000000000000000000,4
1980,4951037000.00000000000000000000,k
1981,4951127000.00000000000000000000,(
1982,4951216000.00000000000000000000,k
1983,4951306000.00000000000000000000,e
1984,4951395000.00000000000000000000,r
1985,4951485000.00000000000000000000,n
1986,4951575000.00000000000000000000,e
1987,4951664000.00000000000000000000,l
1988,4951754000.00000000000000000000,)
1989,4951843000.00000000000000000000,,
1990,4951933000.00000000000000000000,2
1991,4952023000.00000000000000000000,8
1992,4952112000.00000000000000000000,1
1993,4952202000.00000000000000000000,6
1994,4952291000.00000000000000000000,k
1995,4952381000.00000000000000000000,(
1996,4952471000.00000000000000000000,r
1997,4952560000.00000000000000000000,o
1998,4952650000.00000000000000000000,o
1999,4952739000.00000000000000000000,t
2000,4952829000.00000000000000000000,f
2001,4952918000.00000000000000000000,s
2002,4953008000.00000000000000000000,)
2003,4953098000.00000000000000000000,,
2004,4953187000.00000000000000000000,6
2005,4953277000.00000000000000000000,4
2006,4953366000.00000000000000000000,k
2007,4953456000.00000000000000000000,(
2008,4953546000.00000000000000000000,c
2009,4953635000.00000000000000000000,o
2010,4953725000.00000000000000000000,n
2011,4953814000.00000000000000000000,f
2012,4953904000.00000000000000000000,i
2013,4953994000.00000000000000000000,g
2014,4954083000.00000000000000000000,)
2015,4954173000.00000000000000000000,,
2016,4954262000.00000000000000000000,6
2017,4954352000.00000000000000000000,4
2018,4954442000.00000000000000000000,k
2019,4954531000.00000000000000000000,(
2020,4954621000.00000000000000000000,a
2021,4954710000.00000000000000000000,r
2022,4954800000.00000000000000000000,t
2023,4954890000.00000000000000000000,)
2024,4954979000.00000000000000000000, 
2025,4955069000.00000000000000000000,m
2026,4955158000.00000000000000000000,e
2027,4955248000.00000000000000000000,m
2028,4955338000.00000000000000000000,=
2029,4955427000.00000000000000000000,3
2030,4955517000.00000000000000000000,2
2031,4955606000.00000000000000000000,M
2032,4955696000.00000000000000000000,[0D]
2033,4955786000.00000000000000000000,[0A]
2034,4955884000.00000000000000000000,P
2035,4955974000.00000000000000000000,I
2036,4956063000.00000000000000000000,D
2037,4956153000.00000000000000000000, 
2038,4956243000.00000000000000000000,h
2039,4956332000.00000000000000000000,a
2040,4956422000.00000000000000000000,s
2041,4956511000.00000000000000000000,h
2042,4956601000.00000000000000000000, 
2043,4956691000.00000000000000000000,t
2044,4956780000.00000000000000000000,a
2045,4956870000.00000000000000000000,b
2046,4956959000.00000000000000000000,l
2047,4957049000.00000000000000000000,e
2048,4957139000.00000000000000000000, 
2049,4957228000.00000000000000000000,e
2050,4957318000.00000000000000000000,n
2051,4957407000.00000000000000000000,t
2052,4957497000.00000000000000000000,r
2053,4957587000.00000000000000000000,i
2054,4957676000.00000000000000000000,e
2055,4957766000.00000000000000000000,s
2056,4957855000.00000000000000000000,:
2057,4957945000.00000000000000000000, 
2058,4958035000.00000000000000000000,1
2059,4958124000.00000000000000000000,2
2060,4958214000.00000000000000000000,8
2061,4958303000.00000000000000000000, 
2062,4958393000.00000000000000000000,(
2063,4958483000.00000000000000000000,o
2064,4958572000.00000000000000000000,r
2065,4958662000.00000000000000000000,d
2066,4958751000.00000000000000000000,e
2067,4958841000.00000000000000000000,r
2068,4958931000.00000000000000000000,:
2069,4959020000.00000000000000000000, 
2070,4959110000.00000000000000000000,7
2071,4959199000.00000000000000000000,,
2072,4959289000.00000000000000000000, 
2073,4959379000.00000000000000000000,5
2074,4959468000.00000000000000000000,1
2075,4959558000.00000000000000000000,2
2076,4959647000.00000000000000000000, 
2077,4959737000.00000000000000000000,b
2078,4959827000.00000000000000000000,y
2079,4959916000.00000000000000000000,t
2080,4960006000.00000000000000000000,e
2081,4960095000.00000000000000000000,s
2082,4960185000.00000000000000000000,)
2083,4960275000.00000000000000000000,[0D]
2084,4960364000.00000000000000000000,[0A]
2085,4960463000.00000000000000000000,D
2086,4960552000.00000000000000000000,e
2087,4960642000.00000000000000000000,n
2088,4960732000.00000000000000000000,t
2089,4960821000.00000000000000000000,r
2090,4960911000.00000000000000000000,y
2091,4961000000.00000000000000000000, 
2092,4961090000.00000000000000000000,c
2093,4961180000.00000000000000000000,a
2094,4961269000.00000000000000000000,c
2095,4961359000.00000000000000000000,h
2096,4961448000.00000000000000000000,e
2097,4961538000.00000000000000000000, 
2098,4961628000.00000000000000000000,h
2099,4961717000.00000000000000000000,a
2100,4961807000.00000000000000000000,s
2101,4961896000.00000000000000000000,h
2102,4961986000.00000000000000000000, 
2103,4962076000.00000000000000000000,t
2104,4962165000.00000000000000000000,a
2105,4962255000.00000000000000000000,b
2106,4962344000.00000000000000000000,l
2107,4962434000.00000000000000000000,e
2108,4962524000.00000000000000000000, 
2109,4962613000.00000000000000000000,e
2110,4962703000.00000000000000000000,n
2111,4962792000.00000000000000000000,t
2112,4962882000.00000000000000000000,r
2113,4962972000.00000000000000000000,i
2114,4963061000.00000000000000000000,e
2115,4963151000.00000000000000000000,s
2116,4963240000.00000000000000000000,:
2117,4963330000.00000000000000000000, 
2118,4963420000.00000000000000000000,4
2119,4963509000.00000000000000000000,0
2120,4963599000.00000000000000000000,9
2121,4963688000.00000000000000000000,6
2122,4963778000.00000000000000000000, 
2123,4963868000.00000000000000000000,(
2124,4963957000.00000000000000000000,o
2125,4964047000.00000000000000000000,r
2126,4964136000.00000000000000000000,d
2127,4964226000.00000000000000000000,e
2128,4964316000.00000000000000000000,r
2129,4964405000.00000000000000000000,:
2130,4964495000.00000000000000000000, 
2131,4964584000.00000000000000000000,2
2132,4964674000.00000000000000000000,,
2133,4964764000.00000000000000000000, 
2134,4964853000.00000000000000000000,1
2135,4964943000.00000000000000000000,6
2136,4965032000.00000000000000000000,3
2137,4965122000.00000000000000000000,8
2138,4965212000.00000000000000000000,4
2139,4965301000.00000000000000000000, 
2140,4965391000.00000000000000000000,b
2141,4965480000.00000000000000000000,y
2142,4965570000.00000000000000000000,t
2143,4965660000.00000000000000000000,e
2144,4965749000.00000000000000000000,s
2145,4965839000.00000000000000000000,)
2146,4965928000.00000000000000000000,[0D]
2147,4966018000.00000000000000000000,[0A]
2148,4966117000.00000000000000000000,I
2149,4966206000.00000000000000000000,n
2150,4966296000.00000000000000000000,o
2151,4966385000.00000000000000000000,d
2152,4966475000.00000000000000000000,e
2153,4966565000.00000000000000000000,-
2154,4966654000.00000000000000000000,c
2155,4966744000.00000000000000000000,a
2156,4966833000.00000000000000000000,c
2157,4966923000.00000000000000000000,h
2158,4967013000.00000000000000000000,e
2159,4967102000.00000000000000000000, 
2160,4967192000.00000000000000000000,h
2161,4967281000.00000000000000000000,a
2162,4967371000.00000000000000000000,s
2163,4967461000.00000000000000000000,h
2164,4967550000.00000000000000000000, 
2165,4967640000.00000000000000000000,t
2166,4967729000.00000000000000000000,a
2167,4967819000.00000000000000000000,b
2168,4967909000.00000000000000000000,l
2169,4967998000.00000000000000000000,e
2170,4968088000.00000000000000000000, 
2171,4968177000.00000000000000000000,e
2172,4968267000.00000000000000000000,n
2173,4968356000.00000000000000000000,t
2174,4968446000.00000000000000000000,r
2175,4968536000.00000000000000000000,i
2176,4968625000.00000000000000000000,e
2177,4968715000.00000000000000000000,s
2178,4968804000.00000000000000000000,:
2179,4968894000.00000000000000000000, 
2180,4968984000.00000000000000000000,2
2181,4969073000.00000000000000000000,0
2182,4969163000.00000000000000000000,4
2183,4969252000.00000000000000000000,8
2184,4969342000.00000000000000000000, 
2185,4969432000.00000000000000000000,(
2186,4969521000.00000000000000000000,o
2187,4969611000.00000000000000000000,r
2188,4969700000.00000000000000000000,d
2189,4969790000.00000000000000000000,e
2190,4969880000.00000000000000000000,r
2191,4969969000.00000000000000000000,:
2192,4970059000.00000000000000000000, 
2193,4970148000.00000000000000000000,1
2194,4970238000.00000000000000000000,,
2195,4970328000.00000000000000000000, 
2196,4970417000.00000000000000000000,8
2197,4970507000.00000000000000000000,1
2198,4970596000.00000000000000000000,9
2199,4970686000.00000000000000000000,2
2200,4970776000.00000000000000000000, 
2201,4970865000.00000000000000000000,b
2202,4970955000.00000000000000000000,y
2203,4971044000.00000000000000000000,t
2204,4971134000.00000000000000000000,e
2205,4971224000.00000000000000000000,s
2206,4971313000.00000000000000000000,)
2207,4971403000.00000000000000000000,[0D]
2208,4971492000.00000000000000000000,[0A]
2209,4971591000.00000000000000000000,P
2210,4971681000.00000000000000000000,r
2211,4971770000.00000000000000000000,i
2212,4971860000.00000000000000000000,m
2213,4971949000.00000000000000000000,a
2214,4972039000.00000000000000000000,r
2215,4972129000.00000000000000000000,y
2216,4972218000.00000000000000000000, 
2217,4972308000.00000000000000000000,i
2218,4972397000.00000000000000000000,n
2219,4972487000.00000000000000000000,s
2220,4972577000.00000000000000000000,t
2221,4972666000.00000000000000000000,r
2222,4972756000.00000000000000000000,u
2223,4972845000.00000000000000000000,c
2224,4972935000.00000000000000000000,t
2225,4973025000.00000000000000000000,i
2226,4973114000.00000000000000000000,o
2227,4973204000.00000000000000000000,n
2228,4973293000.00000000000000000000, 
2229,4973383000.00000000000000000000,c
2230,4973473000.00000000000000000000,a
2231,4973562000.00000000000000000000,c
2232,4973652000.00000000000000000000,h
2233,4973741000.00000000000000000000,e
2234,4973831000.00000000000000000000, 
2235,4973921000.00000000000000000000,6
2236,4974010000.00000000000000000000,4
2237,4974100000.00000000000000000000,k
2238,4974189000.00000000000000000000,B
2239,4974279000.00000000000000000000,,
2240,4974369000.00000000000000000000, 
2241,4974458000.00000000000000000000,V
2242,4974548000.00000000000000000000,I
2243,4974637000.00000000000000000000,P
2244,4974727000.00000000000000000000,T
2245,4974817000.00000000000000000000,,
2246,4974906000.00000000000000000000, 
2247,4974996000.00000000000000000000,4
2248,4975085000.00000000000000000000,-
2249,4975175000.00000000000000000000,w
2250,4975265000.00000000000000000000,a
2251,4975354000.00000000000000000000,y
2252,4975444000.00000000000000000000,,
2253,4975533000.00000000000000000000, 
2254,4975623000.00000000000000000000,l
2255,4975713000.00000000000000000000,i
2256,4975802000.00000000000000000000,n
2257,4975892000.00000000000000000000,e
2258,4975981000.00000000000000000000,s
2259,4976071000.00000000000000000000,i
2260,4976161000.00000000000000000000,z
2261,4976250000.00000000000000000000,e
2262,4976340000.00000000000000000000, 
2263,4976429000.00000000000000000000,3
2264,4976519000.00000000000000000000,2
2265,4976609000.00000000000000000000, 
2266,4976698000.00000000000000000000,b
2267,4976788000.00000000000000000000,y
2268,4976877000.00000000000000000000,t
2269,4976967000.00000000000000000000,e
2270,4977057000.00000000000000000000,s
2271,4977146000.00000000000000000000,.
2272,4977236000.00000000000000000000,[0D]
2273,4977325000.00000000000000000000,[0A]
2274,4977424000.00000000000000000000,P
2275,4977514000.00000000000000000000,r
2276,4977603000.00000000000000000000,i
2277,4977693000.00000000000000000000,m
2278,4977782000.00000000000000000000,a
2279,4977872000.00000000000000000000,r
2280,4977962000.00000000000000000000,y
2281,4978051000.00000000000000000000, 
2282,4978141000.00000000000000000000,d
2283,4978230000.00000000000000000000,a
2284,4978320000.00000000000000000000,t
2285,4978410000.00000000000000000000,a
2286,4978499000.00000000000000000000, 
2287,4978589000.00000000000000000000,c
2288,4978678000.00000000000000000000,a
2289,4978768000.00000000000000000000,c
2290,4978858000.00000000000000000000,h
2291,4978947000.00000000000000000000,e
2292,4979037000.00000000000000000000, 
2293,4979126000.00000000000000000000,3
2294,4979216000.00000000000000000000,2
2295,4979306000.00000000000000000000,k
2296,4979395000.00000000000000000000,B
2297,4979485000.00000000000000000000,,
2298,4979574000.00000000000000000000, 
2299,4979664000.00000000000000000000,4
2300,4979754000.00000000000000000000,-
2301,4979843000.00000000000000000000,w
2302,4979933000.00000000000000000000,a
2303,4980022000.00000000000000000000,y
2304,4980112000.00000000000000000000,,
2305,4980202000.00000000000000000000, 
2306,4980291000.00000000000000000000,V
2307,4980381000.00000000000000000000,I
2308,4980470000.00000000000000000000,P
2309,4980560000.00000000000000000000,T
2310,4980650000.00000000000000000000,,
2311,4980739000.00000000000000000000, 
2312,4980829000.00000000000000000000,c
2313,4980918000.00000000000000000000,a
2314,4981008000.00000000000000000000,c
2315,4981098000.00000000000000000000,h
2316,4981187000.00000000000000000000,e
2317,4981277000.00000000000000000000, 
2318,4981366000.00000000000000000000,a
2319,4981456000.00000000000000000000,l
2320,4981546000.00000000000000000000,i
2321,4981635000.00000000000000000000,a
2322,4981725000.00000000000000000000,s
2323,4981814000.00000000000000000000,e
2324,4981904000.00000000000000000000,s
2325,4981994000.00000000000000000000,,
2326,4982083000.00000000000000000000, 
2327,4982173000.00000000000000000000,l
2328,4982262000.00000000000000000000,i
2329,4982352000.00000000000000000000,n
2330,4982442000.00000000000000000000,e
2331,4982531000.00000000000000000000,s
2332,4982621000.00000000000000000000,i
2333,4982710000.00000000000000000000,z
2334,4982800000.00000000000000000000,e
2335,4982890000.00000000000000000000, 
2336,4982979000.00000000000000000000,3
2337,4983069000.00000000000000000000,2
2338,4983158000.00000000000000000000, 
2339,4983248000.00000000000000000000,b
2340,4983338000.00000000000000000000,y
2341,4983427000.00000000000000000000,t
2342,4983517000.00000000000000000000,e
2343,4983606000.00000000000000000000,s
2344,4983696000.00000000000000000000,[0D]
2345,4983786000.00000000000000000000,[0A]
2346,4983884000.00000000000000000000,W
2347,4983974000.00000000000000000000,r
2348,4984063000.00000000000000000000,i
2349,4984153000.00000000000000000000,t
2350,4984242000.00000000000000000000,i
2351,4984332000.00000000000000000000,n
2352,4984422000.00000000000000000000,g
2353,4984511000.00000000000000000000, 
2354,4984601000.00000000000000000000,E
2355,4984690000.00000000000000000000,r
2356,4984780000.00000000000000000000,r
2357,4984870000.00000000000000000000,C
2358,4984959000.00000000000000000000,t
2359,4985049000.00000000000000000000,l
2360,4985138000.00000000000000000000, 
2361,4985228000.00000000000000000000,r
2362,4985318000.00000000000000000000,e
2363,4985407000.00000000000000000000,g
2364,4985497000.00000000000000000000,i
2365,4985586000.00000000000000000000,s
2366,4985676000.00000000000000000000,t
2367,4985766000.00000000000000000000,e
2368,4985855000.00000000000000000000,r
2369,4985945000.00000000000000000000,=
2370,4986034000.00000000000000000000,0
2371,4986124000.00000000000000000000,0
2372,4986214000.00000000000000000000,0
2373,4986303000.00000000000000000000,0
2374,4986393000.00000000000000000000,0
2375,4986482000.00000000000000000000,0
2376,4986572000.00000000000000000000,0
2377,4986662000.00000000000000000000,0
2378,4986751000.00000000000000000000,[0D]
2379,4986841000.00000000000000000000,[0A]
2380,4986939000.00000000000000000000,R
2381,4987029000.00000000000000000000,e
2382,4987119000.00000000000000000000,a
2383,4987208000.00000000000000000000,d
2384,4987298000.00000000000000000000,b
2385,4987387000.00000000000000000000,a
2386,4987477000.00000000000000000000,c
2387,4987567000.00000000000000000000,k
2388,4987656000.00000000000000000000, 
2389,4987746000.00000000000000000000,E
2390,4987835000.00000000000000000000,r
2391,4987925000.00000000000000000000,r
2392,4988015000.00000000000000000000,C
2393,4988104000.00000000000000000000,t
2394,4988194000.00000000000000000000,l
2395,4988283000.00000000000000000000, 
2396,4988373000.00000000000000000000,r
2397,4988463000.00000000000000000000,e
2398,4988552000.00000000000000000000,g
2399,4988642000.00000000000000000000,i
2400,4988731000.00000000000000000000,s
2401,4988821000.00000000000000000000,t
2402,4988911000.00000000000000000000,e
2403,4989000000.00000000000000000000,r
2404,4989090000.00000000000000000000,=
2405,4989179000.00000000000000000000,0
2406,4989269000.00000000000000000000,0
2407,4989359000.00000000000000000000,0
2408,4989448000.00000000000000000000,0
2409,4989538000.00000000000000000000,0
2410,4989627000.00000000000000000000,0
2411,4989717000.00000000000000000000,0
2412,4989807000.00000000000000000000,0
2413,4989896000.00000000000000000000,[0D]
2414,4989986000.00000000000000000000,[0A]
2415,4990084000.00000000000000000000,M
2416,4990174000.00000000000000000000,e
2417,4990264000.00000000000000000000,m
2418,4990353000.00000000000000000000,o
2419,4990443000.00000000000000000000,r
2420,4990532000.00000000000000000000,y
2421,4990622000.00000000000000000000,:
2422,4990712000.00000000000000000000, 
2423,4990801000.00000000000000000000,2
2424,4990891000.00000000000000000000,4
2425,4990980000.00000000000000000000,0
2426,4991070000.00000000000000000000,6
2427,4991160000.00000000000000000000,8
2428,4991249000.00000000000000000000,k
2429,4991339000.00000000000000000000,/
2430,4991428000.00000000000000000000,3
2431,4991518000.00000000000000000000,2
2432,4991608000.00000000000000000000,7
2433,4991697000.00000000000000000000,6
2434,4991787000.00000000000000000000,8
2435,4991876000.00000000000000000000,k
2436,4991966000.00000000000000000000, 
2437,4992056000.00000000000000000000,a
2438,4992145000.00000000000000000000,v
2439,4992235000.00000000000000000000,a
2440,4992324000.00000000000000000000,i
2441,4992414000.00000000000000000000,l
2442,4992504000.00000000000000000000,a
2443,4992593000.00000000000000000000,b
2444,4992683000.00000000000000000000,l
2445,4992772000.00000000000000000000,e
2446,4992862000.00000000000000000000, 
2447,4992952000.00000000000000000000,(
2448,4993041000.00000000000000000000,1
2449,4993131000.00000000000000000000,6
2450,4993220000.00000000000000000000,3
2451,4993310000.00000000000000000000,8
2452,4993400000.00000000000000000000,k
2453,4993489000.00000000000000000000, 
2454,4993579000.00000000000000000000,k
2455,4993668000.00000000000000000000,e
2456,4993758000.00000000000000000000,r
2457,4993848000.00000000000000000000,n
2458,4993937000.00000000000000000000,e
2459,4994027000.00000000000000000000,l
2460,4994116000.00000000000000000000, 
2461,4994206000.00000000000000000000,c
2462,4994296000.00000000000000000000,o
2463,4994385000.00000000000000000000,d
2464,4994475000.00000000000000000000,e
2465,4994564000.00000000000000000000,,
2466,4994654000.00000000000000000000, 
2467,4994744000.00000000000000000000,8
2468,4994833000.00000000000000000000,7
2469,4994923000.00000000000000000000,0
2470,4995012000.00000000000000000000,0
2471,4995102000.00000000000000000000,k
2472,4995192000.00000000000000000000, 
2473,4995281000.00000000000000000000,r
2474,4995371000.00000000000000000000,e
2475,4995460000.00000000000000000000,s
2476,4995550000.00000000000000000000,e
2477,4995640000.00000000000000000000,r
2478,4995729000.00000000000000000000,v
2479,4995819000.00000000000000000000,e
2480,4995908000.00000000000000000000,d
2481,4995998000.00000000000000000000,,
2482,4996088000.00000000000000000000, 
2483,4996177000.00000000000000000000,4
